Level nr;Code;Parent code;Label NL;Label FR;Label DE;Label EN
2;08;B;Overige winning van delfstoffen;Autres industries extractives;Gewinnung von Steinen und Erden, sonstiger Bergbau;Other mining and quarrying
2;09;B;Ondersteunende activiteiten in verband met de mijnbouw;Services de soutien aux industries extractives;Erbringung von Dienstleistungen fÿr den Bergbau und fÿr die Gewinnung von Steinen und Erden;Mining support service activities
2;10;C;Vervaardiging van voedingsmiddelen;Industries alimentaires;Herstellung von Nahrungs- und Futtermitteln;Manufacture of food products
2;11;C;Vervaardiging van dranken;Fabrication de boissons;Getränkeherstellung;Manufacture of beverages
2;12;C;Vervaardiging van tabaksproducten;Fabrication de produits à base de tabac;Tabakverarbeitung;Manufacture of tobacco products
2;13;C;Vervaardiging van textiel;Fabrication de textiles;Herstellung von Textilien;Manufacture of textiles
2;14;C;Vervaardiging van kleding;Industrie de l'habillement;Herstellung von Bekleidung;Manufacture of wearing apparel
2;15;C;Vervaardiging van leer en van producten van leer;Industrie du cuir et de la chaussure;Herstellung von Leder, Lederwaren und Schuhen;Manufacture of leather and related products
2;16;C;"Houtindustrie en vervaardiging van artikelen van hout en van kurk, exclusief meubelen; vervaardiging van artikelen van riet en van vlechtwerk";"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Herstellung von Holz-, Flecht-, Korb- und Korkwaren (ohne Möbel);"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
2;17;C;Vervaardiging van papier en papierwaren;Industrie du papier et du carton;Herstellung von Papier, Pappe und Waren daraus;Manufacture of paper and paper products
2;18;C;Drukkerijen, reproductie van opgenomen media;Imprimerie et reproduction d'enregistrements;"Herstellung von Druckerzeugnissen; Vervielfältigung von bespielten Ton-, Bild- und Datenträgern";Printing and reproduction of recorded media
2;19;C;Vervaardiging van cokes en van geraffineerde aardolieproducten;Cokéfaction et raffinage;Kokerei und Mineralölverarbeitung;Manufacture of coke and refined petroleum products
2;20;C;Vervaardiging van chemische producten;Industrie chimique;Herstellung von chemischen Erzeugnissen;Manufacture of chemicals and chemical products
2;21;C;Vervaardiging van farmaceutische grondstoffen en producten;Industrie pharmaceutique;Herstellung von pharmazeutischen Erzeugnissen;Manufacture of basic pharmaceutical products and pharmaceutical preparations
2;22;C;Vervaardiging van producten van rubber of kunststof;Fabrication de produits en caoutchouc et en plastique;Herstellung von Gummi- und Kunststoffwaren;Manufacture of rubber and plastic products
2;23;C;Vervaardiging van andere niet-metaalhoudende minerale producten;Fabrication d'autres produits minéraux non métalliques;Herstellung von Glas und Glaswaren, Keramik, Verarbeitung von Steinen und Erden;Manufacture of other non-metallic mineral products
2;24;C;Vervaardiging van metalen in primaire vorm;Métallurgie;Metallerzeugung und -bearbeitung;Manufacture of basic metals
2;25;C;Vervaardiging van producten van metaal, exclusief machines en apparaten;Fabrication de produits métalliques, à l'exception des machines et des équipements;Herstellung von Metallerzeugnissen;Manufacture of fabricated metal products, except machinery and equipment
2;26;C;Vervaardiging van informaticaproducten en van elektronische en optische producten;Fabrication de produits informatiques, électroniques et optiques;Herstellung von Datenverarbeitungsgeräten, elektronischen und optischen Erzeugnissen;Manufacture of computer, electronic and optical products
2;27;C;Vervaardiging van elektrische apparatuur;Fabrication d'équipements électriques;Herstellung von elektrischen Ausrÿstungen;Manufacture of electrical equipment
2;28;C;Vervaardiging van machines, apparaten en werktuigen, n.e.g.;Fabrication de machines et d'équipements n.c.a.;Maschinenbau;Manufacture of machinery and equipment n.e.c.
2;29;C;Vervaardiging en assemblage van motorvoertuigen, aanhangwagens en opleggers;Construction et assemblage de véhicules automobiles, de remorques et de semi-remorques;Herstellung von Kraftwagen und Kraftwagenteilen;Manufacture of motor vehicles, trailers and semi-trailers
2;30;C;Vervaardiging van andere transportmiddelen;Fabrication d'autres matériels de transport;Sonstiger Fahrzeugbau;Manufacture of other transport equipment
2;31;C;Vervaardiging van meubelen;Fabrication de meubles;Herstellung von Möbeln;Manufacture of furniture
2;32;C;Overige industrie;Autres industries manufacturières;Herstellung von sonstigen Waren;Other manufacturing
2;33;C;Reparatie en installatie van machines en apparaten;Réparation et installation de machines et d'équipements;Reparatur und Installation von Maschinen und Ausrÿstungen;Repair and installation of machinery and equipment
2;35;D;Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Energieversorgung;Electricity, gas, steam and air conditioning supply
2;36;E;Winning, behandeling en distributie van water;Captage, traitement et distribution d'eau;Wasserversorgung;Water collection, treatment and supply
2;37;E;Afvalwaterafvoer;Collecte et traitement des eaux usées;Abwasserentsorgung;Sewerage
2;38;E;"Inzameling, verwerking en verwijdering van afval; terugwinning";"Collecte, traitement et élimination des déchets; récupération";"Sammlung, Behandlung und Beseitigung von Abfällen; Rÿckgewinnung";"Waste collection, treatment and disposal activities; materials recovery"
2;39;E;Sanering en ander afvalbeheer;Dépollution et autres services de gestion des déchets;Beseitigung von Umweltverschmutzungen und sonstige Entsorgung;Remediation activities and other waste management services
2;41;F;"Bouw van gebouwen; ontwikkeling van bouwprojecten";"Construction de bâtiments; promotion immobilière";"Errichtung von Gebäuden ; Entwicklung von Bauprojekten";Construction of buildings
2;42;F;Weg- en waterbouw;Génie civil;Tiefbau;Civil engineering
2;43;F;Gespecialiseerde bouwwerkzaamheden;Travaux de construction spécialisés;Vorbereitende Baustellenarbeiten, Bauinstallation und sonstiges Ausbaugewerbe;Specialised construction activities
2;45;G;Groot- en detailhandel in en onderhoud en reparatie van motorvoertuigen en motorfietsen;Commerce de gros et de détail et réparation véhicules automobiles et de motocycles;"Handel mit Kraftfahrzeugen; Instandhaltung und Reparatur von Kraftfahrzeugen";Wholesale and retail trade and repair of motor vehicles and motorcycles
2;46;G;Groothandel en handelsbemiddeling, met uitzondering van de handel in motorvoertuigen en motorfietsen;Commerce de gros, à l'exception des véhicules automobiles et des motocycles;Großhandel (ohne Handel mit Kraftfahrzeugen und Krafträdern);Wholesale trade, except of motor vehicles and motorcycles
2;47;G;Detailhandel, met uitzondering van de handel in auto's en motorfietsen;Commerce de détail, à l'exception des véhicules automobiles et des motocycles;Einzelhandel (ohne Handel mit Kraftfahrzeugen);Retail trade, except of motor vehicles and motorcycles
2;49;H;Vervoer te land en vervoer via pijpleidingen;Transports terrestres et transport par conduites;Landverkehr und Transport in Rohrfernleitungen;Land transport and transport via pipelines
2;50;H;Vervoer over water;Transports par eau;Schifffahrt;Water transport
2;51;H;Luchtvaart;Transports aériens;Luftfahrt;Air transport
2;52;H;Opslag en vervoerondersteunende activiteiten;Entreposage et services auxiliaires des transports;Lagerei sowie Erbringung von sonstigen Dienstleistungen fÿr den Verkehr;Warehousing and support activities for transportation
2;53;H;Posterijen en koeriers;Activités de poste et de courrier;Post-, Kurier- und Expressdienste;Postal and courier activities
2;55;I;Verschaffen van accommodatie;Hébergement;Beherbergung;Accommodation
2;56;I;Eet- en drinkgelegenheden;Restauration;Gastronomie;Food and beverage service activities
2;58;J;Uitgeverijen;Édition;Verlagswesen;Publishing activities
2;59;J;Productie van films en video- en televisieprogramma's, maken van geluidsopnamen en uitgeverijen van muziekopnamen;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";"Produktion, Verleih und Vertrieb von Filmen und Fernsehprogrammen; Kinos; Tonstudios und Verlegen von Musik";Motion picture, video and television programme production, sound recording and music publishing activities
2;60;J;Programmeren en uitzenden van radio- en televisieprogramma's;Programmation et diffusion de programmes de radio et de télévision;Rundfunkveranstalter;Programming and broadcasting activities
2;61;J;Telecommunicatie;Télécommunications;Telekommunikation;Telecommunications
2;62;J;Ontwerpen en programmeren van computerprogramma's, computerconsultancy-activiteiten en aanverwante activiteiten;Programmation, conseil et autres activités informatiques;Erbringung von Dienstleistungen der Informationstechnologie;Computer programming, consultancy and related activities
2;63;J;Dienstverlenende activiteiten op het gebied van informatie;Services d'information;Informationsdienstleistungen;Information service activities
2;64;K;Financiële dienstverlening, exclusief verzekeringen en pensioenfondsen;Activités des services financiers, hors assurance et caisses de retraite;Erbringung von Finanzdienstleistungen;Financial service activities, except insurance and pension funding
2;65;K;Verzekeringen, herverzekeringen en pensioenfondsen, exclusief verplichte sociale verzekeringen;Assurance, réassurance et caisses de retraite, à l'exclusion des assurances sociales obligatoires;Versicherungen, Rÿckversicherungen und Pensionskassen (ohne Sozialversicherung);Insurance, reinsurance and pension funding, except compulsory social security
2;66;K;Ondersteunende activiteiten voor verzekeringen en pensioenfondsen;Activités auxiliaires de services financiers et d'assurance;Mit Finanz- und Versicherungsdienstleistungen verbundene Tätigkeiten;Activities auxiliary to financial services and insurance activities
2;68;L;Exploitatie van en handel in onroerend goed;Activités immobilières;Grundstÿcks- und Wohnungswesen;Real estate activities
2;69;M;Rechtskundige en boekhoudkundige dienstverlening;Activités juridiques et comptables;Rechts- und Steuerberatung, Wirtschaftsprÿfung;Legal and accounting activities
2;70;M;"Activiteiten van hoofdkantoren; adviesbureaus op het gebied van bedrijfsbeheer";"Activités des sièges sociaux; conseil de gestion";"Verwaltung und Fÿhrung von Unternehmen und Betrieben; Unternehmensberatung";"Activities of head offices; management consultancy activities"
2;71;M;"Architecten en ingenieurs; technische testen en toetsen";"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";"Architektur- und Ingenieurbÿros; technische, physikalische und chemische Untersuchung";"Architectural and engineering activities; technical testing and analysis"
2;72;M;Speur- en ontwikkelingswerk op wetenschappelijk gebied;Recherche-développement scientifique;Forschung und Entwicklung;Scientific research and development
2;73;M;Reclamewezen en marktonderzoek;Publicité et études de marché;Werbung und Marktforschung;Advertising and market research
2;74;M;Overige gespecialiseerde wetenschappelijke en technische activiteiten;Autres activités spécialisées, scientifiques et techniques;Sonstige freiberufliche, wissenschaftliche und technische Tätigkeiten;Other professional, scientific and technical activities
2;75;M;Veterinaire diensten;Activités vétérinaires;Veterinärwesen;Veterinary activities
2;77;N;Verhuur en lease;Activités de location et location-bail;Vermietung von beweglichen Sachen;Rental and leasing activities
2;78;N;Terbeschikkingstelling van personeel;Activités liées à l'emploi;Vermittlung und ÿberlassung von Arbeitskräften;Employment activities
2;79;N;Reisbureaus, reisorganisatoren, reserveringsbureaus en aanverwante activiteiten;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Reisebÿros, Reiseveranstalter und Erbringung sonstiger Reservierungsdienstleistungen;Travel agency, tour operator reservation service and related activities
2;80;N;Beveiligings- en opsporingsdiensten;Enquêtes et sécurité;Wach- und Sicherheitsdienste sowie Detekteien;Security and investigation activities
2;81;N;"Diensten in verband met gebouwen; landschapsverzorging";"Services relatifs aux bâtiments; aménagement paysager";"Gebäudebetreuung; Garten- und Landschaftsbau";Services to buildings and landscape activities
2;82;N;Administratieve en ondersteunende activiteiten ten behoeve van kantoren en overige zakelijke activiteiten;Services administratifs de bureau et autres activités de soutien aux entreprises;Erbringung von wirtschaftlichen Dienstleistungen fÿr Unternehmen und Privatpersonen a. n. g.;Office administrative, office support and other business support activities
2;84;O;"Openbaar bestuur en defensie; verplichte sociale verzekeringen";"Administration publique et défense; sécurité sociale obligatoire";"Öffentliche Verwaltung, Verteidigung; Sozialversicherung";"Public administration and defence; compulsory social security"
2;85;P;Onderwijs;Enseignement;Erziehung und Unterricht;Education
2;86;Q;Menselijke gezondheidszorg;Activités pour la santé humaine;Gesundheitswesen;Human health activities
2;87;Q;Maatschappelijke dienstverlening met huisvesting;Activités médico-sociales et sociales avec hébergement;Heime (ohne Erholungs- und Ferienheime);Residential care activities
2;88;Q;Maatschappelijke dienstverlening zonder huisvesting;Action sociale sans hébergement;Sozialwesen (ohne Heime);Social work activities without accommodation
2;90;R;Creatieve activiteiten, kunst en amusement;Activités créatives, artistiques et de spectacle;Kreative, kÿnstlerische und unterhaltende Tätigkeiten;Creative, arts and entertainment activities
2;91;R;Bibliotheken, archieven, musea en overige culturele activiteiten;Bibliothèques, archives, musées et autres activités culturelles;Bibliotheken, Archive, Museen, botanische und zoologische Gärten;Libraries, archives, museums and other cultural activities
2;92;R;Loterijen en kansspelen;Organisation de jeux de hasard et d'argent;Spiel-, Wett- und Lotteriewesen;Gambling and betting activities
2;93;R;Sport, ontspanning en recreatie;Activités sportives, récréatives et de loisirs;Erbringung von Dienstleistungen des Sports, der Unterhaltung und der Erholung;Sports activities and amusement and recreation activities
2;94;S;Verenigingen;Activités des organisations associatives;Interessenvertretungen sowie kirchliche und sonstige religiöse Vereinigungen (ohne Sozialwesen und Sport);Activities of membership organisations
2;95;S;Reparatie van computers en consumentenartikelen;Réparation d'ordinateurs et de biens personnels et domestiques;Reparatur von Datenverarbeitungsgeräten und Gebrauchsgÿtern;Repair of computers and personal and household goods
2;96;S;Overige persoonlijke diensten;Autres services personnels;Erbringung von sonstigen ÿberwiegend persönlichen Dienstleistungen;Other personal service activities
2;97;T;Huishoudens als werkgever van huishoudelijk personeel;Activités des ménages en tant qu'employeurs de personnel domestique;Private Haushalte mit Hauspersonal;Activities of households as employers of domestic personnel
2;98;T;Niet-gedifferentieerde productie van goederen en diensten door particuliere huishoudens voor eigen gebruik;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;Herstellung von Waren und Erbringung von Dienstleistungen durch private Haushalte fÿr den Eigenbedarf ohne ausgeprägten Schwerpunkt;Undifferentiated goods- and services-producing activities of private households for own use
2;99;U;Extraterritoriale organisaties en lichamen;Activités des organisations et organismes extraterritoriaux;Exterritoriale Organisationen und Körperschaften;Activities of extraterritorial organisations and bodies
3;;;Groepen;Groupes;Gruppen;Groups
3;011;01;Teelt van eenjarige gewassen;Cultures non permanentes;Anbau einjähriger Pflanzen;Growing of non-perennial crops
3;012;01;Teelt van meerjarige gewassen;Cultures permanentes;Anbau mehrjähriger Pflanzen;Growing of perennial crops
3;013;01;Plantenvermeerdering;Reproduction de plantes;Betrieb von Baumschulen, sowie Anbau von Pflanzen zu Vermehrungszwecken;Plant propagation
3;014;01;Veeteelt;Production animale;Tierhaltung;Animal production
3;015;01;Gemengd bedrijf;Culture et élevage associés;Gemischte Landwirtschaft;Mixed farming
3;016;01;"Ondersteunende activiteiten in verband met de landbouw; activiteiten met betrekking tot gewassen na de oogst";Activités de soutien à l'agriculture et traitement primaire des récoltes;Erbringung von landwirtschaftlichen Dienstleistungen;Support activities to agriculture and post-harvest crop activities
3;017;01;Jacht, zetten van vallen en diensten in verband met deze activiteiten;Chasse, piégeage et services annexes;Jagd, Fallenstellerei und damit verbundene Tätigkeiten;Hunting, trapping and related service activities
3;021;02;Bosbouw;Sylviculture et autres activités forestières;Forstwirtschaft;Silviculture and other forestry activities
3;022;02;Exploitatie van bossen;Exploitation forestière;Holzeinschlag;Logging
3;023;02;Verzamelen van in het wild groeiende producten met uitzondering van hout;Récolte de produits forestiers non ligneux poussant à l'état sauvage;Sammeln von wildwachsenden Produkten (ohne Holz);Gathering of wild growing non-wood products
3;024;02;Ondersteunende diensten in verband met de bosbouw;Services de soutien à l'exploitation forestière;Erbringung von Dienstleistungen fÿr Forstwirtschaft und Holzeinschlag;Support services to forestry
3;031;03;Visserij;Pêche;Fischerei;Fishing
3;032;03;Aquacultuur;Aquaculture;Aquakultur;Aquaculture
3;051;05;Winning van steenkool;Extraction de houille;Steinkohlenbergbau;Mining of hard coal
3;052;05;Winning van bruinkool;Extraction de lignite;Braunkohlenbergbau;Mining of lignite
3;061;06;Winning van aardolie;Extraction de pétrole brut;Gewinnung von Erdöl;Extraction of crude petroleum
3;062;06;Winning van aardgas;Extraction de gaz naturel;Gewinnung von Erdgas;Extraction of natural gas
3;071;07;Winning van ijzererts;Extraction de minerais de fer;Eisenerzbergbau;Mining of iron ores
3;072;07;Winning van non-ferrometaalertsen;Extraction de minerais de métaux non ferreux;NE-Metallerzbergbau;Mining of non-ferrous metal ores
3;081;08;Winning van steen, zand en klei;Extraction de pierres, de sables et d'argiles;Gewinnung von Natursteinen, Kies, Sand, Ton und Kaolin;Quarrying of stone, sand and clay
3;089;08;Winning van delfstoffen, n.e.g.;Activités extractives n.c.a.;Sonstiger Bergbau a. n. g.;Mining and quarrying n.e.c.
3;091;09;Ondersteunende activiteiten in verband met de aardolie- en aardgaswinning;Activités de soutien à l'extraction d'hydrocarbures;Erbringung von Dienstleistungen fÿr die Gewinnung von Erdöl und Erdgas;Support activities for petroleum and natural gas extraction
3;099;09;Ondersteunende activiteiten in verband met de overige winning van delfstoffen;Activités de soutien aux autres industries extractives;Erbringung von Dienstleistungen fÿr den sonstigen Bergbau und die Gewinnung von Steinen und Erden;Support activities for other mining and quarrying
3;101;10;Verwerking en conservering van vlees en vervaardiging van vleesproducten;"Transformation et conservation de la viande; préparation de produits à base de viande";Schlachten und Fleischverarbeitung;Processing and preserving of meat and production of meat products
3;102;10;Verwerking en conservering van vis en van schaal- en weekdieren;Transformation et conservation de poisson, de crustacés et de mollusques;Fischverarbeitung;Processing and preserving of fish, crustaceans and molluscs
3;103;10;Verwerking en conservering van groenten en fruit;Transformation et conservation de fruits et de légumes;Obst- und Gemÿseverarbeitung;Processing and preserving of fruit and vegetables
3;104;10;Vervaardiging van plantaardige en dierlijke oliën en vetten;Fabrication d'huiles et de graisses végétales et animales;Herstellung von pflanzlichen und tierischen Ölen und Fetten;Manufacture of vegetable and animal oils and fats
3;105;10;Vervaardiging van zuivelproducten;Fabrication de produits laitiers;Milchverarbeitung;Manufacture of dairy products
3;106;10;Vervaardiging van maalderijproducten, zetmeel en zetmeelproducten;"Travail des grains; fabrication de produits amylacés";Mahl- und Schälmÿhlen, Herstellung von Stärke und Stärkeerzeugnissen;Manufacture of grain mill products, starches and starch products
3;107;10;Vervaardiging van bakkerijproducten en deegwaren;Fabrication de produits de boulangerie-pâtisserie et de pâtes alimentaires;Herstellung von Back- und Teigwaren;Manufacture of bakery and farinaceous products
3;108;10;Vervaardiging van andere voedingsmiddelen;Fabrication d'autres produits alimentaires;Herstellung von sonstigen Nahrungsmitteln;Manufacture of other food products
3;109;10;Vervaardiging van diervoeders;Fabrication d'aliments pour animaux;Herstellung von Futtermitteln;Manufacture of prepared animal feeds
3;110;11;Vervaardiging van dranken;Fabrication de boissons;Getränkeherstellung;Manufacture of beverages
3;120;12;Vervaardiging van tabaksproducten;Fabrication de produits à base de tabac;Tabakverarbeitung;Manufacture of tobacco products
3;131;13;Bewerken en spinnen van textielvezels;Préparation de fibres textiles et filature;Spinnstoffaufbereitung und Spinnerei;Preparation and spinning of textile fibres
3;132;13;Weven van textiel;Tissage;Weberei;Weaving of textiles
3;133;13;Textielveredeling;Ennoblissement textile;Veredlung von Textilien und Bekleidung;Finishing of textiles
3;139;13;Vervaardiging van andere textielproducten;Fabrication d'autres textiles;Herstellung von sonstigen Textilwaren;Manufacture of other textiles
3;141;14;Vervaardiging van kleding, exclusief bontkleding;Fabrication de vêtements autres qu'en fourrure;Herstellung von Bekleidung (ohne Pelzbekleidung);Manufacture of wearing apparel, except fur apparel
3;142;14;Vervaardiging van artikelen van bont;Fabrication d'articles en fourrure;Herstellung von Pelzwaren;Manufacture of articles of fur
3;143;14;Vervaardiging van gebreide en gehaakte kleding;Fabrication d'articles à mailles;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;Manufacture of knitted and crocheted apparel
3;151;15;"Looien en bewerken van leer; vervaardiging van koffers, tassen, zadel- en tuigmakerswerk; bereiden en verven van bont";"Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Herstellung von Leder und Lederwaren (ohne Herstellung von Lederbekleidung);"Tanning and dressing of leather; manufacture of luggage, handbags,saddlery and harness; dressing and dyeing of fur"
3;152;15;Vervaardiging van schoeisel;Fabrication de chaussures;Herstellung von Schuhen;Manufacture of footwear
3;161;16;Zagen en schaven van hout;Sciage et rabotage du bois;Säge-, Hobel- und Holzimprägnierwerke;Sawmilling and planing of wood
3;162;16;Vervaardiging van artikelen van hout, kurk, riet of vlechtwerk;Fabrication d'articles en bois, liège, vannerie et sparterie;Herstellung von sonstigen Holz-, Kork-, Flecht- und Korbwaren (ohne Möbel);Manufacture of products of wood, cork, straw and plaiting materials
3;171;17;Vervaardiging van papierpulp, papier en karton;Fabrication de pâte à papier, de papier et de carton;Herstellung von Holz- und Zellstoff, Papier, Karton und Pappe;Manufacture of pulp, paper and paperboard
3;172;17;Vervaardiging van artikelen van papier of karton;Fabrication d'articles en papier ou en carton;Herstellung von Waren aus Papier, Karton und Pappe;Manufacture of articles of paper and paperboard
3;181;18;Drukkerijen en diensten in verband met drukkerijen;Imprimerie et services annexes;Herstellung von Druckerzeugnissen;Printing and service activities related to printing
3;182;18;Reproductie van opgenomen media;Reproduction d'enregistrements;Vervielfältigung von bespielten Ton-, Bild- und Datenträgern;Reproduction of recorded media
3;191;19;Vervaardiging van cokesovenproducten;Cokéfaction;Kokerei;Manufacture of coke oven products
3;192;19;Vervaardiging van geraffineerde aardolieproducten;Raffinage du pétrole;Mineralölverarbeitung;Manufacture of refined petroleum products
3;201;20;Vervaardiging van chemische basisproducten, kunstmeststoffen en stikstofverbindingen en van kunststoffen en synthetische rubber in primaire vormen;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Herstellung von chemischen Grundstoffen, Dÿngemitteln und Stickstoffverbindungen, Kunststoffen in Primärformen und synthetischem Kautschuk in Primärformen;Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms
3;202;20;Vervaardiging van verdelgingsmiddelen en van andere chemische producten voor de landbouw;Fabrication de pesticides et d'autres produits agrochimiques;Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln;Manufacture of pesticides and other agrochemical products
3;203;20;Vervaardiging van verf, vernis e.d., drukinkt en mastiek;Fabrication de peintures, de vernis, d'encres et de mastics;Herstellung von Anstrichmitteln, Druckfarben und Kitten;Manufacture of paints, varnishes and similar coatings, printing ink a mastics
3;204;20;Vervaardiging van zeep, wasmiddelen, poets- en reinigingsmiddelen, parfums en toiletartikelen;Fabrication de savons, de produits d'entretien, de parfums et de produits de toilette;Herstellung von Seifen, Wasch-, Reinigungs- und Körperpflegemitteln sowie von Duftstoffen;Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations
3;205;20;Vervaardiging van andere chemische producten;Fabrication d'autres produits chimiques;Herstellung von sonstigen chemischen Erzeugnissen;Manufacture of other chemical products
3;206;20;Vervaardiging van synthetische en kunstmatige vezels;Fabrication de fibres artificielles ou synthétiques;Herstellung von Chemiefasern;Manufacture of man-made fibres
3;211;21;Vervaardiging van farmaceutische grondstoffen;Fabrication de produits pharmaceutiques de base;Herstellung von pharmazeutischen Grundstoffen;Manufacture of basic pharmaceutical products
3;212;21;Vervaardiging van farmaceutische producten;Fabrication de préparations pharmaceutiques;Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen;Manufacture of pharmaceutical preparations
3;221;22;Vervaardiging van producten van rubber;Fabrication de produits en caoutchouc;Herstellung von Gummiwaren;Manufacture of rubber products
3;222;22;Vervaardiging van producten van kunststof;Fabrication de produits en plastique;Herstellung von Kunststoffwaren;Manufacture of plastics products
3;231;23;Vervaardiging van glas en glaswerk;Fabrication de verre et d'articles en verre;Herstellung von Glas und Glaswaren;Manufacture of glass and glass products
3;232;23;Vervaardiging van vuurvaste producten;Fabrication de produits réfractaires;Herstellung von feuerfesten keramischen Werkstoffen und Waren;Manufacture of refractory products
